2025-03-27 10:09:56.716 +0530	START		Running Testcases/LaunchApplication.script
2025-03-27 10:10:10.501 +0530	Connect		Mymachine:(null)	2	on_connectsut	CommonUtilities/Core.script
2025-03-27 10:10:31.164 +0530	typetext		[windowsKey]r	2	on_openrunwindow	CommonUtilities/Core.script
2025-03-27 10:10:35.633 +0530	waitfor	(TEXT:"Type the name")	found at (117, 875)	4	on_openrunwindow	CommonUtilities/Core.script
2025-03-27 10:10:37.527 +0530	typetext		Chrome https://demo.nopcommerce.com/ --start-Maximized[returnKey]	3	on_launchurl	CommonUtilities/Core.script
2025-03-27 10:10:38.556 +0530	set		SEARCHRECTANGLE = 	6	on_launchurl	CommonUtilities/Core.script
2025-03-27 10:10:48.450 +0530	imagefound	(TEXT:"Welcome to our store")	found at (952, 885)	4	on_openapplication	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:10:48.455 +0530	LogSuccess		Assertion Succeeded: (true: ImageFound(text:"Welcome to our store"))	4	on_openapplication	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:10:51.439 +0530	click	(TEXT:"register")	at (1209, 108)	2	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:10:59.684 +0530	imagefound	(TEXT:"Your Personal Details")	found at (951, 449)	3	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:10:59.689 +0530	LogSuccess		Assertion Succeeded: (true: imagefound(text:"Your Personal Details"))	3	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:01.428 +0530	click	(TEXT:"Female")	at (856, 524)	4	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:03.432 +0530	imagelocation	(TEXT:"First name")	at (705, 575)	5	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:03.555 +0530	click		at (775, 575)	5	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:04.444 +0530	typetext		sudhee	6	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:06.752 +0530	imagelocation	(TEXT:"Last name")	at (705, 630)	7	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:06.868 +0530	click		at (775, 630)	7	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:07.707 +0530	typetext		gunu	8	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:10.105 +0530	imagelocation	(TEXT:"Email")	at (720, 685)	9	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:10.216 +0530	click		at (770, 685)	9	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:11.340 +0530	typetext		abc@gmail.com	10	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:13.289 +0530	imagelocation	(TEXT:"Company name")	at (688, 880)	11	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:13.401 +0530	click		at (738, 880)	11	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:14.398 +0530	typetext		Ideabytes	12	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:15.103 +0530	scrollwheeldown		moved 7	14	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:16.768 +0530	click	(TEXT:"Your Password")	at (885, 627)	15	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:17.518 +0530	typetext		[controlKey]a	16	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:18.418 +0530	typetext		123456	17	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:20.313 +0530	imagelocation	(TEXT:"Confirm")	at (649, 698)	18	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:20.426 +0530	click		at (649, 698)	18	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:21.177 +0530	typetext		[controlKey]a	19	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:22.085 +0530	typetext		123456	20	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:22.923 +0530	imagelocation	REGISTER	at (948, 823)	21	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:23.035 +0530	click		at (948, 823)	21	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:52.292 +0530	imagefound	(TEXT:"The specified email already exists")	Unable to Find Image (TEXT:"The specified email already exists"). Text not found.	22	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:54.345 +0530	imagefound	(TEXT:"Your registration completed")	found at (951, 478)	26	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:54.349 +0530	LogSuccess		Assertion Succeeded: (true: imagefound(text:"Your registration completed"))	26	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:56.522 +0530	click	(TEXT:"CONTINUE")	at (951, 555)	27	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:11:58.984 +0530	imagefound	(TEXT:"Check your saved passwords")	found at (858, 235)	29	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:12:01.065 +0530	click	(TEXT:"close")	at (1131, 364)	29	on_regsiter	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:12:03.309 +0530	imagefound	(TEXT:"Log out")	found at (1276, 108)	2	on_login	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:12:05.717 +0530	click	(TEXT:"Books")	at (1131, 292)	2	on_addtocart	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:12:06.706 +0530	click	product	at (1123, 715)	3	on_addtocart	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:12:13.268 +0530	click	(TEXT:"ADD TO CART")	at (1047, 767)	5	on_addtocart	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:00.395 +0530	imagefound	(TEXT:"The product has been added to the shopping cart")	Unable to Find Image (TEXT:"The product has been added to the shopping cart"). Text not found.	6	on_addtocart	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:00.618 +0530	click	shoppingcart	at (1427, 111)	10	on_addtocart	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:01.417 +0530	imagefound	Shoppingcart_text	found at (910, 392)	2	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:01.421 +0530	LogSuccess		You are in the shopping cart page	3	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:01.556 +0530	imagefound	termsAndConditions_checkBox.png	found at (1204, 1003)	4	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:01.677 +0530	click		at (1204, 1003)	7	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:02.378 +0530	scrollwheeldown		moved 2	8	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:05.114 +0530	click	(TEXT:"CHECKOUT")	at (1452, 864)	9	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:10.494 +0530	waitfor	(TEXT:" ship to the same address")	found at (958, 176)	10	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:11.587 +0530	imagefound	(TEXT:"First name")	found at (720, 264)	11	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:12.733 +0530	imagelocation	(TEXT:"First name")	at (720, 264)	12	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:12.848 +0530	click		at (790, 264)	12	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:13.601 +0530	typetext		[controlKey]a	13	on_orderproduct	ApplicationUtilities/Nopcommerce.script
2025-03-27 10:13:14.493 +0530	typetext		sudhee	14	on_orderproduct	ApplicationUtilities/Nopcommerce.script
